,City_ID,Country,Lat,Lng,Hotel Name
0,Bima,ID,-8.45,118.73,Lambitu Hotel
1,Bambous Virieux,MU,-20.34,57.76,Casa Tia Villa
2,Jamestown,AU,-33.21,138.6,Jamestown Motel Terraces
3,Irbeyskoye,RU,55.64,95.45,"Gostinitsa ""Agul"""
4,Lykhivka,UA,48.69,33.92,
5,Salym,RU,60.06,71.48,Gostinitsa V Salyme
6,Puerto Ayora,EC,-0.74,-90.35,Finch Bay Galapagos Hotel
7,Provideniya,RU,64.42,-173.23,
8,Nabire,ID,-3.36,135.5,Hotel Nusantara Nabire
9,Mataura,NZ,-46.19,168.86,Ellie's Villa
10,Rikitea,PF,-23.12,-134.97,Pension Maro'i
11,Vanimo,PG,-2.67,141.3,Vahmoneh Lodge Vanimo
12,Atuona,PF,-9.8,-139.03,Villa Enata
13,Sidrolandia,BR,-20.93,-54.96,hotel cisne azul
14,Airai,TL,-8.93,125.41,Juvinal Martin
15,Punta Arenas,CL,-53.16,-70.91,Hotel Dreams Del Estrecho
16,Ushuaia,AR,-54.81,-68.31,Albatros Hotel
17,Hilo,US,19.71,-155.08,Hilo Seaside Hotel
18,Victoria,BN,5.28,115.24,Tiara Labuan Hotel
19,Busselton,AU,-33.64,115.35,Observatory Guest House
20,Haines Junction,CA,60.75,-137.51,Parkside Inn
21,Hithadhoo,MV,-0.6,73.08,Scoop Guest House
22,Hobart,AU,-42.88,147.33,St Ives Apartments
23,Qaanaaq,GL,77.48,-69.36,Qaanaaq Hotel
24,Marsaxlokk,MT,35.84,14.54,Water's Edge
25,Vaini,IN,15.34,74.49,Dandeli Lake County
26,San Quintin,PH,17.54,120.52,San Quintin River Resort
27,Oxapampa,PE,-10.58,-75.4,Altares de Oxapampa
28,Pevek,RU,69.7,170.27,Munitsipal'naya Gostinitsa
29,Port Elizabeth,US,39.31,-74.98,HAMMER RUN
30,Katsuura,JP,33.93,134.5,喜楽の湯
31,Arlit,NE,18.74,7.39,Hôtel Telwa Bungalow
32,Birao,CF,10.3,22.78,
33,Port Alfred,ZA,-33.59,26.89,The Halyards Hotel
34,Muriae,BR,-21.13,-42.37,Premium Plaza Hotel
35,Cockburn Town,TC,21.46,-71.14,Osprey Beach Hotel
36,Dikson,RU,73.51,80.55,
37,Saint-Philippe,CA,45.36,-73.48,Camping St-Andre
38,Cape Town,ZA,-33.93,18.42,Southern Sun Waterfront Cape Town
39,Bethel,US,60.79,-161.76,Long House Hotel Bethel
40,Georgetown,GY,6.8,-58.16,Kanhai's Center
41,Hermanus,ZA,-34.42,19.24,Misty Waves Boutique Hotel
42,Geraldton,CA,49.72,-86.95,Victoria Bed & Breakfast
43,Bako,BF,12.29,-0.73,
44,Nanma,CN,35.7,113.14,Yinxin Hotel
45,Olinda,AU,-37.84,145.39,Mary Cards Coach House
46,Longyearbyen,NO,78.22,15.63,"Radisson Blu Polar Hotel, Spitsbergen"
47,Faanui,PF,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
48,Terra Santa,BR,-2.1,-56.49,Hotel Sarah
49,Eureka,US,40.8,-124.16,Eureka Inn
50,Staraya Poltavka,RU,50.48,46.48,"Hotel ""Oktyabrskaya"""
51,Aljezur,PT,37.31,-8.8,Amazigh Hostel
52,Portland,US,43.66,-70.25,Hampton Inn Portland Downtown - Waterfront
53,Tiksi,RU,71.64,128.87,Umka
54,Potsdam,DE,52.4,13.06,Dorint Hotel Sanssouci Berlin/Potsdam
55,Zhangjiakou,CN,40.77,114.88,Longhao Hotel
56,Ust-Nera,RU,64.57,143.24,Квартира посуточно в Усть-Нере
57,Srednekolymsk,RU,67.46,153.71,
58,Taksimo,RU,56.36,114.84,Tsentral'naya
59,Necochea,AR,-38.55,-58.74,dyd -mar Hotel
60,Ratnagiri,IN,16.98,73.3,Hotel Landmark
61,Puerto Escondido,MX,15.86,-97.07,Aldea del Bazar Hotel and Spa
62,Cabedelo,BR,-6.97,-34.84,Lua Mansa Pousada
63,San Carlos de Bariloche,AR,-41.13,-71.31,Hotel Patagonia
64,Mangai,CD,-4.07,19.59,
65,Aswan,EG,24.09,32.9,Nuba Nile
66,Leningradskiy,RU,69.38,178.42,
67,Howell,US,40.17,-74.19,At 9 Motel
68,Gao,ML,16.28,-0.04,Auberge Escale Saneye
69,Russell,US,38.9,-98.86,Quality Inn
70,Lorengau,PG,-2.02,147.27,Lorengau Harbourside Hotel
71,Butaritari,KI,3.07,172.79,Isles Sunset Lodge
72,Knysna,ZA,-34.04,23.05,Protea Hotel by Marriott Knysna Quays
73,Bredasdorp,ZA,-34.53,20.04,Bredasdorp Country Manor
74,Albany,US,42.65,-73.75,Hilton Albany
75,Codajas,BR,-3.84,-62.06,Hotel Tamires
76,Karratha,AU,-20.74,116.85,ibis Styles Karratha
77,Guarapari,BR,-20.67,-40.5,Hotel Porto do Sol
78,Chokurdakh,RU,70.62,147.9,
79,Norman Wells,CA,65.28,-126.83,Heritage Hotel
80,Ukiah,US,39.15,-123.21,Hampton Inn Ukiah
81,Fortuna,US,40.6,-124.16,Super 8 By Wyndham Fortuna
82,Rapid Valley,US,44.06,-103.15,Fairfield Inn & Suites by Marriott Rapid City
83,Saskylakh,RU,71.97,114.09,Saskylakh Aeroport
84,Simplicio Mendes,BR,-7.85,-41.91,Fidalgo
85,Maracas,TT,10.76,-61.44,Maracas Bay
86,Verkhnyaya Toyma,RU,62.24,45.0,Gostinitsa
87,New Norfolk,AU,-42.78,147.06,The Shingles Riverside Cottages
88,Saint-Joseph,FR,43.56,6.97,Hôtel Château de la Tour
89,Thompson,CA,55.74,-97.86,Burntwood Hotel
90,Alfonsine,IT,44.51,12.04,HOTEL LA CANTINA
91,Hobyo,SO,5.35,48.53,
92,East London,ZA,-33.02,27.91,Tu Casa
93,Ilulissat,GL,69.22,-51.1,Hotel Arctic
94,Avarua,CK,-21.21,-159.78,Paradise Inn
95,Talnakh,RU,69.49,88.39,Talnakh Hotel
96,Sharkan,RU,57.3,53.87,Rodnichok
97,Vung Tau,VN,10.35,107.08,Seaside Resort
98,Coos Bay,US,43.37,-124.22,Best Western Holiday Hotel
99,Castro,CL,-42.48,-73.76,Hotel Esmeralda
100,Ashqelon,IL,31.67,34.57,Leonardo Ashkelon
101,Kondinskoye,RU,59.65,67.41,
102,Bubaque,GW,11.28,-15.83,Casa Dora
103,Barrow,AR,-38.31,-60.23,
104,Buala,SB,-8.15,159.59,Maringe Lagoon Lodge
106,Komsomolskiy,RU,67.55,63.78,
107,Yellowknife,CA,62.45,-114.38,The Explorer Hotel
108,Liverpool,GB,53.41,-2.98,Premier Inn Liverpool City Centre (Moorfields) hotel
109,Kosh-Agach,RU,49.99,88.66,Fermerskiy Dom v Kosh-Agache
110,Cherskiy,RU,68.75,161.3,Gostinitsa
111,Torrevieja,ES,37.98,-0.68,Hotel Fontana Plaza
112,Dunedin,NZ,-45.87,170.5,Scenic Hotel Southern Cross
113,Liyang,CN,31.42,119.48,Jinjiang Inn Style Suyang City Government Building
114,Torbay,CA,47.66,-52.73,See The Sea
